Date of Cohort,Average juvenile length,Average juvenile area,Number of Shells in Cohort,Average pH,Average Temperature
9/11/2015,0.7555,0.322,10,7.98399,12.53109
9/11/2015,1.112,0.641,10,7.98399,12.53109
9/11/2015,0.594,0.211,10,7.98399,12.53109
9/11/2015,1.0615,0.625,10,7.98399,12.53109
9/11/2015,0.941,0.485,10,7.98399,12.53109
9/11/2015,0.825,0.382,10,7.98399,12.53109
9/11/2015,1.975,1.7515,10,7.98399,12.53109
9/11/2015,1.1615,0.716,10,7.98399,12.53109
9/11/2015,0.7605,0.325,10,7.98399,12.53109
9/11/2015,0.578,0.1935,10,7.98399,12.53109
11/10/2015,1.676,1.433,30,7.85265,11.73122
11/10/2015,1.8475,1.73,30,7.85265,11.73122
11/10/2015,1.053,0.5655,30,7.85265,11.73122
11/10/2015,1.6765,1.501,30,7.85265,11.73122
11/10/2015,1.109,0.643,30,7.85265,11.73122
11/10/2015,1.8525,1.7355,30,7.85265,11.73122
11/10/2015,0.9775,0.5195,30,7.85265,11.73122
11/10/2015,1.0975,0.626,30,7.85265,11.73122
11/10/2015,0.986,0.508,30,7.85265,11.73122
11/10/2015,1.1455,0.644,30,7.85265,11.73122
11/10/2015,1.545,1.222,30,7.85265,11.73122
11/10/2015,1.254,0.826,30,7.85265,11.73122
11/10/2015,1.490,1.1025,30,7.85265,11.73122
11/10/2015,1.0605,0.597,30,7.85265,11.73122
11/10/2015,1.242,0.788,30,7.85265,11.73122
11/10/2015,1.231,0.8155,30,7.85265,11.73122
11/10/2015,1.074,0.591,30,7.85265,11.73122
11/10/2015,1.379,0.9595,30,7.85265,11.73122
11/10/2015,2.3695,2.6215,30,7.85265,11.73122
11/10/2015,1.4195,0.9905,30,7.85265,11.73122
11/10/2015,1.37,0.9295,30,7.85265,11.73122
11/10/2015,0.96,0.493,30,7.85265,11.73122
11/10/2015,0.779,0.368,30,7.85265,11.73122
11/10/2015,1.0155,0.5475,30,7.85265,11.73122
11/10/2015,1.1335,0.661,30,7.85265,11.73122
11/10/2015,0.7745,0.336,30,7.85265,11.73122
11/10/2015,1.8345,1.649,30,7.85265,11.73122
11/10/2015,1.7655,1.5985,30,7.85265,11.73122
11/10/2015,1.041,0.59,30,7.85265,11.73122
11/10/2015,1.0145,0.58,30,7.85265,11.73122
02/23/16,1.05,0.5625,31,7.93905,10.17966
02/23/16,1.022,0.567,31,7.93905,10.17966
02/23/16,0.953,0.4815,31,7.93905,10.17966
02/23/16,3.58,6.612,31,7.93905,10.17966
02/23/16,1.083,0.626,31,7.93905,10.17966
02/23/16,0.522,0.153,31,7.93905,10.17966
02/23/16,0.7905,0.3395,31,7.93905,10.17966
02/23/16,1.466,1.0105,31,7.93905,10.17966
02/23/16,0.6305,0.223,31,7.93905,10.17966
02/23/16,0.8915,0.4285,31,7.93905,10.17966
02/23/16,1.1835,0.7465,31,7.93905,10.17966
02/23/16,1.6975,1.4815,31,7.93905,10.17966
02/23/16,1.343,0.9805,31,7.93905,10.17966
02/23/16,1.096,0.64,31,7.93905,10.17966
02/23/16,1.146,0.744,31,7.93905,10.17966
